id,type,name,latitude,longitude,landuse,natural,leaf_type,source
way-206058796,way,,35.675435,139.7184999,forest,,,OpenStreetMap
way-206058804,way,,35.6761737,139.7197618,forest,,,OpenStreetMap
way-206060063,way,,35.679923,139.7175175,forest,,,OpenStreetMap
way-206060066,way,,35.6782877,139.7199293,forest,,,OpenStreetMap
way-206060075,way,,35.6795129,139.7188048,forest,,,OpenStreetMap
way-206060079,way,,35.6793049,139.716268,forest,,,OpenStreetMap
way-206060082,way,,35.6798613,139.7185565,forest,,,OpenStreetMap
way-208656522,way,,35.7189917,139.7093655,forest,,,OpenStreetMap
way-208656532,way,,35.7204284,139.7071615,forest,,broadleaved,OpenStreetMap
way-208656534,way,,35.71813,139.7096744,forest,,,OpenStreetMap
way-209515139,way,,35.651444,139.72062,forest,,,OpenStreetMap
way-209515141,way,,35.653396,139.7178533,forest,,,OpenStreetMap
way-209515157,way,,35.652431,139.7212426,forest,,,OpenStreetMap
way-209515159,way,,35.6516487,139.7183127,forest,,,OpenStreetMap
way-209515165,way,,35.6508493,139.7204127,forest,,,OpenStreetMap
way-209515167,way,,35.6529886,139.7179364,forest,,,OpenStreetMap
way-215729136,way,,35.627409,139.7294837,forest,,,OpenStreetMap
way-215729137,way,,35.6277515,139.7294084,forest,,,OpenStreetMap
way-215729139,way,,35.6271556,139.7286213,forest,,,OpenStreetMap
way-215735071,way,,35.6248273,139.7368177,forest,,,OpenStreetMap
way-215735072,way,,35.6243263,139.7361714,forest,,,OpenStreetMap
way-215735076,way,,35.6239008,139.7368293,forest,,,OpenStreetMap
way-215735078,way,,35.6235387,139.7356233,forest,,,OpenStreetMap
way-215735080,way,,35.6236987,139.7351235,forest,,,OpenStreetMap
way-215740634,way,,35.6324566,139.7269752,,wood,,OpenStreetMap
way-215748917,way,,35.6377012,139.7360044,forest,,,OpenStreetMap
way-215806026,way,,35.6303559,139.7199888,forest,,,OpenStreetMap
way-215806030,way,,35.6314985,139.7195958,forest,,,OpenStreetMap
way-215806035,way,,35.6308921,139.7193663,forest,,,OpenStreetMap
way-217275362,way,,35.6548982,139.7335637,forest,,,OpenStreetMap
way-217275363,way,,35.6546559,139.7340555,forest,,,OpenStreetMap
way-217275364,way,,35.6545743,139.7331595,forest,,,OpenStreetMap
way-217275365,way,,35.6558274,139.7330362,forest,,,OpenStreetMap
way-217604975,way,,35.7152744,139.7645665,forest,,,OpenStreetMap
way-217604976,way,,35.7165615,139.7633907,forest,,,OpenStreetMap
way-217604977,way,,35.7152185,139.7653486,forest,,,OpenStreetMap
way-217604978,way,,35.7161057,139.7651975,forest,,broadleaved,OpenStreetMap
way-217604979,way,,35.7157912,139.7640424,forest,,broadleaved,OpenStreetMap
way-217604980,way,,35.7168265,139.7638225,forest,,,OpenStreetMap
way-217604981,way,,35.7159721,139.7652483,forest,,broadleaved,OpenStreetMap
way-217604982,way,,35.7153008,139.7642798,forest,,,OpenStreetMap
way-217604983,way,,35.7156495,139.7651613,forest,,,OpenStreetMap
way-217604984,way,,35.7160751,139.7641472,forest,,broadleaved,OpenStreetMap
way-217604985,way,,35.7167378,139.7643994,forest,,,OpenStreetMap
way-217607307,way,,35.7162826,139.7628494,forest,,broadleaved,OpenStreetMap
way-217607308,way,,35.7163383,139.7649253,forest,,broadleaved,OpenStreetMap
way-217607309,way,,35.7155315,139.7639087,forest,,,OpenStreetMap
way-217618797,way,,35.626082,139.8818885,forest,,,OpenStreetMap
way-217842049,way,,35.6333073,139.8809779,forest,,,OpenStreetMap
way-217870340,way,,35.6301161,139.8803549,forest,,,OpenStreetMap
way-217913440,way,,35.6331021,139.881236,forest,,,OpenStreetMap
way-217913441,way,,35.6305101,139.879995,forest,,,OpenStreetMap
way-217928569,way,,35.6327626,139.8811997,forest,,,OpenStreetMap
way-217981044,way,,35.6349844,139.8803221,forest,,,OpenStreetMap
way-217983984,way,,35.630821,139.8811453,forest,,,OpenStreetMap
way-218188184,way,,35.6310212,139.8816554,forest,,,OpenStreetMap
way-218407775,way,,35.6343315,139.8815726,forest,,,OpenStreetMap
way-218407777,way,,35.6336555,139.8812223,forest,,,OpenStreetMap
way-218409847,way,,35.6306692,139.8806054,forest,,,OpenStreetMap
way-218410031,way,,35.6308392,139.8818872,forest,,,OpenStreetMap
way-218410594,way,,35.6319228,139.8804659,forest,,,OpenStreetMap
way-218465534,way,,35.6348358,139.7327988,,wood,,OpenStreetMap
way-218505480,way,,35.6322104,139.8816227,forest,,,OpenStreetMap
way-218506092,way,,35.635777,139.8803704,forest,,,OpenStreetMap
way-218506093,way,,35.6329228,139.8821279,forest,,,OpenStreetMap
way-218507421,way,,35.6360072,139.8804249,forest,,,OpenStreetMap
way-218508026,way,,35.6355335,139.8803208,forest,,,OpenStreetMap
way-218552887,way,,35.6354602,139.8807832,forest,,,OpenStreetMap
